,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
0,0,2,0,1.0,1,0,2
1,1,0,1,1.0,1,0,0
2,1,2,1,1.0,0,0,2
3,1,0,1,1.0,1,0,2
4,0,2,0,1.0,0,0,2
5,0,0,0,1.0,0,0,2
6,0,2,0,0.0,3,1,2
7,1,2,1,1.0,0,2,2
8,1,1,1,0.0,1,0,0
9,1,2,1,0.0,1,1,2
10,1,0,1,2.0,0,0,2
11,0,2,0,1.0,0,0,2
12,0,2,0,1.0,1,5,2
13,0,2,1,0.0,0,0,2
14,1,1,1,2.0,0,0,2
15,0,2,0,0.0,4,1,1
16,0,2,1,1.0,1,0,2
17,0,1,0,1.0,0,0,2
18,1,1,0,1.0,0,0,2
19,1,2,1,1.0,0,0,1
20,1,0,0,1.0,0,0,2
21,0,2,1,0.0,3,1,2
22,1,2,1,1.0,1,5,2
23,0,0,0,1.0,3,2,2
24,0,0,0,1.0,0,0,0
25,1,0,1,,1,0,0
26,0,1,0,2.0,0,0,2
27,0,0,0,1.0,1,0,0
28,0,0,0,1.0,1,0,2
29,0,2,0,1.0,0,0,2
30,0,2,1,1.0,2,0,2
31,1,2,1,0.0,1,0,0
32,0,2,1,1.0,1,0,2
33,0,1,1,1.0,1,0,2
34,1,1,1,0.0,1,2,0
35,1,2,1,1.0,0,0,1
36,0,2,1,1.0,1,0,2
37,0,2,0,0.0,4,1,2
38,0,2,0,1.0,0,0,2
39,1,0,1,1.0,1,0,0
40,1,1,1,1.0,1,0,2
41,0,0,0,2.0,0,1,0
42,1,0,0,,0,0,2
43,1,1,1,1.0,0,0,2
44,0,2,0,1.0,0,0,0
45,1,1,1,0.0,1,2,2
46,0,2,0,0.0,5,2,2
47,0,2,0,1.0,0,0,0
48,1,0,1,1.0,0,0,
49,0,0,0,1.0,1,0,2
50,0,2,0,0.0,3,2,2
51,1,1,1,1.0,0,0,2
52,0,2,0,1.0,0,0,2
53,1,2,1,1.0,4,2,2
54,0,2,0,1.0,2,0,2
55,0,1,0,1.0,0,0,2
56,0,2,1,1.0,5,2,2
57,0,1,0,1.0,0,0,2
58,0,2,0,1.0,1,0,0
59,1,2,0,1.0,0,0,2
60,0,2,0,1.0,0,0,2
61,1,1,0,0.0,0,2,2
62,1,2,1,1.0,0,0,2
63,0,2,0,1.0,0,0,2
64,1,2,0,1.0,0,0,2
65,0,0,0,1.0,0,0,2
66,1,1,1,1.0,0,0,2
67,1,2,1,1.0,3,0,2
68,0,2,0,1.0,1,3,2
69,1,0,1,1.0,3,2,2
70,0,2,0,1.0,0,0,2
71,0,2,0,1.0,0,0,2
72,0,2,0,1.0,0,0,2
73,0,0,0,1.0,1,0,2
74,0,2,0,1.0,1,2,2
75,0,2,0,2.0,0,0,2
76,0,0,0,2.0,0,0,0
77,1,0,0,1.0,0,1,0
78,1,1,1,1.0,0,1,2
79,0,1,0,1.0,1,0,2
80,0,2,1,1.0,0,0,2
81,0,0,0,1.0,0,1,2
82,0,2,0,1.0,0,0,2
83,0,2,0,1.0,2,0,2
84,0,2,0,1.0,0,0,2
85,1,2,1,1.0,0,0,2
86,0,2,0,1.0,0,0,2
87,0,0,0,1.0,0,0,2
88,0,2,1,0.0,1,0,0
89,0,2,0,1.0,0,0,2
90,0,2,1,1.0,1,0,2
91,0,2,1,1.0,0,0,0
92,0,2,0,1.0,0,0,2
93,0,2,0,2.0,0,0,1
94,0,1,0,1.0,1,0,2
95,0,0,0,1.0,0,1,0
96,0,2,1,0.0,4,2,2
97,0,1,0,1.0,2,0,2
98,0,1,0,1.0,1,0,0
99,1,1,1,1.0,0,0,2
100,0,0,0,1.0,0,1,2
101,1,2,0,0.0,1,0,0
102,1,2,0,1.0,0,0,2
103,1,2,1,,1,1,0
104,0,2,0,1.0,0,0,2
105,0,2,0,1.0,0,0,0
106,0,2,0,1.0,0,0,2
107,0,2,1,1.0,1,0,2
108,1,1,1,1.0,1,0,2
109,0,1,0,1.0,0,0,2
110,0,1,0,1.0,0,0,0
111,1,0,1,1.0,0,2,2
112,0,0,0,1.0,1,0,2
113,0,2,0,1.0,0,0,2
114,0,0,0,1.0,0,0,0
115,1,2,1,1.0,0,0,2
116,1,2,1,1.0,1,0,2
117,0,2,0,1.0,0,0,1
118,0,1,0,1.0,0,0,2
119,0,1,0,1.0,1,1,2
120,1,2,0,1.0,0,0,2
121,0,2,1,0.0,2,2,2
122,0,1,0,1.0,0,2,2
123,0,1,0,1.0,0,0,2
124,0,1,0,1.0,0,0,2
125,1,0,1,1.0,1,0,2
126,0,2,0,2.0,0,0,2
127,0,2,0,1.0,0,2,2
128,0,0,0,1.0,0,1,0
129,1,2,1,1.0,0,0,1
130,0,2,0,1.0,0,0,2
131,0,2,0,1.0,0,1,2
132,1,1,1,1.0,0,0,2
133,0,2,0,1.0,0,0,2
134,0,2,0,1.0,0,0,2
135,0,2,0,0.0,4,1,2
136,1,2,0,0.0,0,2,2
137,1,0,1,,0,1,2
138,0,2,1,1.0,1,4,2
139,0,2,0,1.0,0,0,2
140,0,0,0,2.0,0,0,2
141,0,2,0,0.0,4,1,1
142,1,2,1,0.0,1,1,2
143,0,2,0,1.0,0,0,2
144,0,0,0,2.0,0,0,0
145,0,2,0,1.0,1,1,2
146,0,0,1,1.0,0,0,0
147,0,1,0,1.0,0,0,2
148,0,2,0,1.0,0,0,2
149,0,2,0,0.0,4,2,2
150,1,1,0,0.0,2,1,2
151,1,2,1,0.0,0,2,2
152,0,0,0,,0,0,2
153,1,0,0,1.0,0,0,2
154,0,2,0,1.0,1,1,1
155,0,2,0,1.0,0,0,2
156,1,1,1,1.0,0,0,2
157,0,1,0,1.0,0,0,2
158,1,2,1,1.0,1,0,2
159,1,1,0,0.0,1,1,2
160,1,0,1,1.0,0,0,0
161,1,0,1,2.0,0,0,0
162,0,2,0,1.0,0,1,2
163,0,1,1,1.0,0,0,2
164,0,2,0,1.0,0,0,2
165,0,2,0,1.0,0,0,2
166,0,2,0,1.0,0,0,0
167,1,2,0,1.0,0,0,2
168,0,2,1,0.0,0,1,2
169,0,2,0,1.0,1,0,2
170,1,2,0,1.0,0,0,0
171,1,2,1,1.0,0,0,1
172,1,0,0,1.0,0,0,0
173,0,2,0,1.0,0,0,2
174,1,1,1,1.0,0,0,2
175,0,2,0,1.0,0,0,2
176,0,1,0,1.0,0,0,2
177,1,0,1,1.0,1,0,0
178,1,2,1,1.0,0,0,2
179,0,1,0,1.0,1,0,2
180,1,0,1,1.0,0,0,0
181,0,1,0,1.0,0,0,2
182,1,2,0,1.0,0,0,2
183,0,1,0,1.0,0,0,2
184,0,2,0,1.0,0,0,2
185,1,0,0,1.0,1,0,2
186,0,2,0,1.0,0,0,2
187,1,1,0,1.0,0,0,2
188,0,2,0,1.0,0,0,2
189,0,1,0,1.0,0,0,2
190,1,0,1,1.0,1,0,2
191,0,2,0,1.0,0,0,2
192,0,1,0,2.0,0,0,2
193,1,2,1,0.0,4,2,2
194,0,1,0,1.0,0,0,2
195,0,1,0,1.0,1,0,2
196,1,1,1,0.0,0,2,2
197,0,1,0,1.0,0,0,2
198,0,1,0,1.0,0,0,2
199,0,1,0,1.0,0,0,2
200,0,2,0,1.0,0,0,2
201,0,2,0,1.0,0,0,0
202,0,0,0,1.0,2,0,1
203,0,2,1,1.0,0,0,2
204,1,1,1,1.0,0,2,2
205,1,0,0,1.0,1,1,2
206,0,1,0,1.0,1,0,2
207,0,2,1,1.0,1,1,2
208,0,0,0,2.0,0,0,2
209,0,2,0,1.0,1,0,2
210,0,2,1,1.0,0,2,2
211,1,2,1,1.0,0,2,0
212,1,0,1,1.0,0,0,2
213,1,0,1,1.0,0,0,0
214,1,1,1,1.0,0,1,2
215,1,2,0,0.0,4,2,2
216,0,0,0,1.0,1,1,2
217,0,0,0,1.0,0,0,2
218,0,1,0,1.0,0,0,2
219,0,2,0,1.0,4,1,2
220,1,2,0,1.0,1,0,2
221,1,0,1,2.0,0,1,2
222,1,0,1,1.0,0,0,2
223,1,2,0,1.0,0,0,2
224,1,1,1,1.0,0,1,2
225,0,0,0,1.0,0,1,0
226,1,0,1,2.0,1,0,2
227,0,2,1,1.0,0,0,2
228,0,2,0,0.0,4,1,1
229,1,2,1,1.0,1,1,2
230,0,2,0,2.0,0,0,1
231,0,2,0,1.0,0,0,2
232,0,2,0,1.0,0,0,2
233,1,2,0,1.0,0,0,2
234,0,0,0,,0,0,2
235,0,2,0,1.0,0,0,0
236,1,2,0,1.0,0,0,2
237,0,2,0,1.0,0,0,2
238,1,1,0,1.0,0,0,2
239,1,2,1,1.0,0,0,1
240,1,0,1,1.0,0,0,2
241,1,0,1,1.0,1,0,0
242,0,1,0,1.0,0,0,0
243,0,2,1,1.0,0,0,2
244,0,2,0,1.0,0,0,2
245,0,2,0,1.0,0,0,0
246,0,0,1,0.0,1,2,2
247,1,0,0,,0,0,2
248,1,0,1,1.0,0,1,0
249,0,2,0,1.0,0,0,2
250,1,1,1,,0,0,1
251,1,0,0,0.0,1,2,2
252,1,0,1,1.0,1,0,0
253,0,1,0,1.0,1,0,0
254,1,0,1,1.0,0,0,0
255,1,0,1,1.0,0,0,0
256,1,0,1,1.0,2,2,0
257,0,1,1,1.0,1,1,2
258,0,2,0,1.0,0,0,2
259,0,1,0,1.0,1,1,2
260,1,2,1,1.0,0,0,2
261,1,1,1,1.0,1,0,2
262,0,1,0,1.0,0,0,2
263,1,0,1,1.0,0,2,2
264,1,0,1,1.0,1,1,0
265,0,2,0,1.0,0,0,2
266,0,2,0,1.0,0,0,2
267,1,1,1,1.0,0,0,1
268,1,1,1,1.0,1,1,2
269,1,0,1,1.0,0,0,0
270,0,2,0,2.0,0,0,2
271,1,1,1,1.0,0,0,2
272,1,2,1,1.0,1,1,2
273,1,0,1,1.0,0,1,0
274,0,0,0,1.0,0,0,2
275,0,0,0,1.0,0,1,2
276,0,2,0,1.0,2,0,2
277,0,0,0,1.0,1,0,2
278,1,0,1,1.0,0,0,0
279,1,2,0,1.0,0,0,2
280,0,0,0,1.0,0,0,2
281,1,1,0,0.0,1,1,2
282,1,0,1,1.0,3,2,2
283,0,1,0,1.0,0,0,2
284,0,1,0,1.0,0,0,2
285,0,1,0,1.0,0,0,2
286,1,1,1,1.0,0,0,2
287,1,1,1,1.0,0,0,2
288,1,2,0,0.0,1,1,2
289,0,2,0,1.0,0,0,2
290,0,2,0,1.0,0,0,2
291,0,0,0,,0,0,2
292,0,2,0,1.0,1,1,0
293,0,2,0,1.0,1,0,2
294,0,2,0,1.0,0,0,2
295,1,0,1,1.0,0,1,2
296,0,1,1,1.0,0,0,2
297,0,2,0,1.0,1,4,2
298,0,1,0,1.0,1,0,0
299,0,2,1,1.0,0,1,0
300,0,2,0,1.0,0,0,2
301,0,2,0,1.0,0,0,2
302,1,0,1,2.0,1,0,0
303,1,0,1,1.0,0,0,0
304,1,0,0,1.0,1,0,0
305,0,2,0,1.0,1,0,2
306,0,2,0,1.0,0,0,2
307,0,0,0,1.0,0,0,0
308,0,2,1,0.0,3,1,2
309,1,2,1,1.0,0,0,2
310,0,0,0,1.0,0,2,0
311,0,2,0,1.0,0,0,0
312,0,2,0,1.0,0,0,2
313,1,0,1,1.0,0,0,0
314,1,2,1,0.0,0,2,0
315,0,2,0,1.0,0,0,2
316,1,0,1,1.0,1,0,2
317,0,1,0,1.0,0,0,2
318,0,2,0,0.0,5,2,2
319,1,1,1,1.0,0,0,2
320,1,1,1,1.0,0,0,0
321,1,0,0,1.0,1,2,2
322,1,2,0,1.0,0,0,2
323,0,2,0,1.0,2,0,2
324,1,0,1,1.0,1,0,0
325,1,2,1,1.0,0,2,2
326,0,2,0,1.0,0,0,2
327,0,2,1,1.0,0,0,2
328,0,1,0,1.0,0,0,2
329,0,1,0,1.0,0,0,2
330,1,1,1,1.0,0,0,2
331,1,2,0,1.0,0,0,2
332,0,2,0,1.0,0,0,2
333,0,2,1,1.0,1,0,2
334,0,2,0,1.0,1,0,2
335,0,2,1,1.0,0,0,2
336,0,1,0,1.0,1,0,2
337,0,2,0,1.0,0,0,2
338,1,1,0,0.0,1,1,2
339,0,2,0,1.0,0,0,2
340,1,0,1,1.0,1,0,1
341,1,2,0,1.0,0,0,2
342,1,1,1,1.0,1,1,2
343,1,1,1,1.0,0,2,2
344,0,1,0,1.0,0,0,2
345,0,2,1,0.0,0,2,2
346,0,2,0,1.0,0,0,1
347,0,2,0,1.0,0,0,2
348,0,2,1,1.0,1,1,2
349,0,2,0,1.0,1,1,2
350,1,1,1,1.0,1,0,2
351,1,1,1,1.0,0,0,2
352,1,2,0,1.0,0,0,2
353,1,0,0,1.0,0,0,2
354,1,1,1,1.0,1,0,2
355,0,2,0,1.0,0,0,2
356,0,0,0,1.0,1,0,2
357,1,0,1,0.0,1,2,2
358,0,2,1,1.0,2,2,2
359,1,1,1,1.0,2,3,2
360,0,0,0,2.0,1,4,2
361,0,1,0,1.0,0,0,2
362,1,1,1,1.0,1,1,2
363,0,2,0,1.0,0,0,2
364,0,2,0,1.0,1,0,2
365,1,1,1,1.0,0,0,2
366,1,0,0,0.0,0,2,2
367,1,1,1,0.0,0,1,2
368,1,0,0,1.0,0,0,2
369,1,2,1,0.0,2,1,0
370,1,0,0,1.0,0,0,2
371,0,1,0,1.0,1,2,2
372,0,0,0,1.0,0,0,0
373,1,0,0,1.0,1,0,0
374,1,2,0,1.0,0,0,0
375,0,0,0,2.0,0,0,2
376,1,0,1,,1,0,2
377,1,1,1,1.0,0,0,2
378,1,0,0,1.0,0,0,2
379,0,2,0,1.0,0,0,2
380,0,0,0,1.0,0,0,2
381,0,1,0,1.0,0,0,2
382,0,2,0,1.0,0,0,2
383,0,0,0,2.0,0,0,2
384,1,2,1,0.0,2,1,0
385,0,2,0,1.0,0,0,2
386,1,1,1,1.0,1,2,2
387,1,1,1,1.0,0,0,0
388,0,2,1,1.0,0,0,2
389,0,0,0,,0,0,2
390,0,1,0,1.0,1,0,2
391,0,2,0,1.0,1,0,2
392,0,2,0,1.0,0,0,2
393,1,2,1,0.0,0,1,2
394,0,2,0,0.0,5,2,2
395,0,2,0,1.0,0,0,2
396,1,2,1,2.0,0,0,2
397,1,0,0,1.0,1,0,0
398,1,0,1,1.0,1,0,2
399,0,0,0,2.0,0,0,0
400,0,2,0,1.0,0,0,2
401,1,2,0,0.0,1,1,2
402,0,2,0,1.0,0,0,2
403,0,0,0,2.0,0,0,2
404,0,0,0,2.0,0,0,0
405,0,2,0,1.0,0,0,2
406,1,0,1,1.0,1,0,0
407,0,0,1,1.0,1,2,2
408,0,2,0,1.0,0,0,2
409,0,2,0,1.0,0,0,2
410,0,2,1,1.0,0,0,1
411,0,2,1,1.0,0,0,2
412,1,0,1,1.0,0,0,2
413,0,0,0,1.0,1,0,0
414,1,1,1,1.0,0,2,2
415,0,2,0,1.0,0,0,2
416,1,2,0,1.0,0,0,2
417,1,2,0,1.0,0,0,1
418,1,0,0,1.0,0,0,2
419,1,0,1,1.0,1,0,0
420,0,2,0,1.0,0,0,2
421,0,0,0,1.0,0,0,2
422,1,1,1,1.0,0,0,2
423,1,1,1,1.0,1,0,2
424,0,2,0,1.0,0,0,2
425,1,0,1,1.0,0,0,2
426,0,2,0,1.0,0,0,2
427,1,0,1,1.0,0,1,0
428,0,2,0,1.0,0,0,1
429,1,1,1,1.0,0,0,2
430,0,0,0,,0,0,2
431,0,2,0,1.0,0,0,2
432,0,1,0,1.0,2,1,2
433,1,1,1,0.0,1,1,2
434,0,2,0,1.0,1,1,0
435,0,2,1,1.0,0,0,2
436,1,1,1,0.0,0,2,2
437,0,0,0,1.0,0,0,2
438,1,0,1,1.0,0,0,0
439,1,0,1,1.0,0,2,0
440,1,0,1,1.0,0,2,2
441,0,2,1,0.0,4,2,2
442,0,2,1,0.0,4,2,2
443,1,1,0,1.0,1,0,2
444,0,0,0,1.0,1,0,0
445,0,0,0,2.0,0,0,2
446,1,1,1,1.0,1,0,2
447,0,2,0,1.0,1,1,2
448,1,1,0,0.0,1,1,2
449,1,0,0,1.0,0,2,0
450,0,1,0,1.0,0,0,2
451,1,2,0,1.0,0,0,0
452,1,2,1,1.0,0,0,2
453,0,0,0,2.0,0,0,2
454,1,0,1,1.0,1,0,0
455,1,0,1,1.0,1,1,2
456,1,2,1,1.0,1,0,2
457,0,2,0,1.0,0,0,2
458,0,1,0,1.0,0,0,2
459,0,2,0,1.0,2,0,2
460,0,2,0,1.0,0,0,2
461,0,2,1,1.0,0,4,2
462,1,2,0,1.0,0,0,2
463,1,1,0,2.0,0,0,2
464,1,0,1,1.0,2,0,2
465,1,0,0,1.0,0,0,2
466,0,2,0,1.0,0,0,2
467,0,2,0,1.0,0,0,2
468,1,1,1,1.0,0,0,2
469,1,0,1,1.0,1,0,2
470,1,2,0,1.0,0,0,2
471,1,1,1,1.0,1,1,2
472,1,0,1,1.0,1,1,0
473,0,1,0,1.0,0,0,2
474,0,0,0,1.0,0,0,0
475,1,0,1,1.0,0,2,2
476,0,1,0,1.0,0,0,2
477,1,0,0,2.0,1,1,0
478,0,2,0,1.0,0,0,2
479,0,2,0,1.0,0,0,2
480,1,0,1,1.0,1,0,0
481,0,2,0,1.0,0,0,2
482,0,1,0,1.0,1,0,2
483,0,2,0,1.0,1,1,2
484,0,2,0,1.0,0,0,2
485,1,0,0,1.0,1,0,0
486,1,1,1,1.0,2,1,2
487,0,2,0,1.0,0,0,2
488,1,0,0,1.0,0,0,0
489,0,2,0,1.0,1,0,2
490,0,2,0,1.0,0,0,2
491,1,0,0,1.0,0,0,2
492,1,1,1,1.0,1,2,0
493,1,0,1,1.0,0,0,2
494,0,2,1,1.0,1,5,2
495,0,2,0,1.0,0,0,2
496,1,1,1,1.0,1,2,2
497,0,2,0,1.0,1,1,2
498,0,2,1,1.0,1,0,2
499,1,1,1,0.0,2,1,2
500,0,1,0,1.0,0,0,2
501,0,2,0,1.0,1,0,0
502,1,0,0,1.0,1,0,2
503,1,2,0,1.0,1,1,0
504,0,2,0,1.0,0,0,2
505,0,2,0,1.0,0,0,2
506,0,0,0,2.0,0,0,2
507,0,1,0,2.0,0,0,1
508,1,0,1,1.0,0,0,2
509,0,2,0,1.0,0,0,2
510,1,0,0,2.0,0,0,2
511,0,2,0,1.0,0,0,2
512,1,0,0,1.0,0,0,0
513,0,2,1,0.0,3,2,2
514,1,1,1,1.0,0,0,2
515,0,2,0,1.0,0,0,2
516,0,1,0,1.0,1,1,2
517,0,2,1,1.0,0,5,2
518,0,2,0,1.0,0,0,2
519,1,0,1,1.0,0,0,0
520,0,2,1,0.0,3,2,2
521,1,2,1,0.0,2,1,0
522,1,0,0,1.0,1,0,0
523,0,2,0,1.0,0,0,2
524,1,0,0,2.0,0,0,0
525,1,2,1,1.0,0,0,2
526,1,1,1,1.0,0,1,2
527,0,2,0,1.0,0,0,2
528,0,2,1,1.0,0,0,1
529,0,1,0,1.0,2,0,2
530,0,2,1,1.0,1,1,1
531,0,1,0,1.0,0,0,2
532,0,0,0,2.0,0,2,0
533,1,0,0,1.0,2,0,2
534,0,2,0,1.0,0,0,0
535,0,0,0,1.0,0,0,2
536,0,2,0,1.0,0,0,2
537,1,2,0,1.0,1,0,2
538,0,1,0,1.0,2,0,2
539,0,1,0,1.0,0,0,2
540,0,2,0,1.0,0,0,2
541,1,0,1,,1,0,2
542,1,1,1,1.0,1,1,2
543,0,0,0,1.0,1,0,2
544,0,1,0,2.0,0,0,2
545,1,1,0,1.0,0,0,2
546,0,2,0,1.0,0,0,2
547,0,2,0,1.0,0,0,2
548,1,2,1,1.0,0,0,2
549,0,2,1,1.0,1,6,2
550,1,0,0,1.0,0,1,0
551,1,0,0,1.0,0,0,0
552,0,2,0,1.0,0,0,2
553,0,2,0,0.0,5,2,2
554,0,1,0,2.0,1,1,2
555,0,1,0,1.0,1,2,0
556,0,2,0,0.0,4,1,2
557,0,2,0,1.0,0,0,2
558,0,2,0,1.0,0,0,2
559,1,0,1,1.0,0,1,2
560,1,0,0,1.0,1,0,2
561,1,2,1,0.0,0,1,0
562,0,2,0,1.0,0,0,0
563,0,0,0,2.0,0,0,2
564,0,1,0,1.0,0,0,2
565,0,2,0,1.0,0,0,2
566,0,0,0,1.0,1,1,0
567,0,2,0,1.0,0,0,2
568,1,0,1,1.0,1,0,0
569,1,0,0,1.0,0,0,2
570,0,2,1,1.0,0,1,0
571,0,2,0,1.0,0,0,1
572,0,2,0,1.0,1,0,2
573,0,1,0,1.0,0,0,2
574,1,1,1,1.0,0,0,2
575,1,0,0,1.0,0,0,2
576,1,0,1,1.0,0,0,2
577,1,0,1,1.0,0,0,0
578,0,0,0,,0,0,2
579,1,0,0,1.0,1,0,2
580,0,2,0,1.0,0,0,2
581,0,1,0,1.0,0,0,2
582,0,2,0,1.0,0,0,2
583,1,0,1,1.0,0,0,0
584,1,1,1,1.0,0,0,2
585,0,2,0,1.0,0,0,2
586,1,1,1,0.0,0,1,2
587,0,2,0,1.0,1,0,2
588,0,1,0,1.0,0,0,2
589,0,1,0,1.0,0,0,2
590,1,0,0,1.0,1,0,2
591,0,2,0,1.0,0,0,2
592,1,1,1,1.0,3,0,2
593,0,1,0,1.0,1,0,2
594,0,2,1,1.0,1,0,2
595,1,0,1,1.0,0,0,2
596,0,2,0,0.0,0,0,0
597,0,1,0,1.0,0,0,2
598,0,1,0,1.0,0,0,2
599,0,2,0,1.0,0,0,2
600,0,2,1,1.0,1,3,2
601,1,0,0,1.0,0,0,0
602,1,0,0,,0,0,2
603,0,0,0,1.0,1,0,2
604,1,0,1,1.0,2,2,0
605,0,2,0,1.0,1,0,2
606,1,2,0,1.0,0,0,2
607,0,0,0,2.0,1,1,2
608,0,2,0,1.0,1,1,2
609,1,1,1,1.0,0,0,2
610,0,0,0,1.0,1,0,2
611,0,2,0,1.0,0,0,1
612,1,1,1,0.0,1,1,2
613,1,2,0,0.0,0,1,2
614,0,2,0,1.0,0,0,2
615,0,2,0,1.0,0,0,2
616,1,1,1,1.0,1,2,2
617,1,1,0,0.0,1,1,2
618,0,2,0,1.0,0,0,2
619,0,1,0,1.0,0,0,2
620,0,2,0,1.0,0,0,2
621,1,0,1,1.0,0,0,2
622,0,2,0,1.0,0,0,2
623,1,2,0,1.0,0,0,0
624,1,0,1,1.0,1,2,2
625,0,2,0,1.0,0,0,2
626,1,0,1,1.0,1,0,2
627,0,2,1,1.0,0,0,1
628,0,2,0,1.0,0,0,2
629,0,2,0,1.0,0,0,2
630,0,2,0,1.0,0,0,2
631,0,1,1,2.0,0,0,2
632,1,1,1,1.0,1,3,2
633,0,2,0,1.0,0,0,2
634,0,2,0,,0,0,1
635,1,2,1,0.0,0,0,2
636,1,0,1,1.0,0,1,2
637,1,2,1,0.0,0,0,0
638,1,0,1,1.0,1,0,2
639,0,0,0,1.0,0,0,2
640,0,2,0,1.0,0,0,2
641,0,2,0,1.0,0,0,2
642,1,2,1,1.0,0,0,2
643,0,2,0,0.0,4,1,1
644,1,2,0,0.0,1,2,2
645,0,0,0,1.0,0,0,0
646,0,1,0,1.0,0,0,2
647,0,2,0,1.0,0,0,2
648,0,1,0,1.0,0,0,2
649,1,0,1,1.0,0,0,2
650,1,2,1,1.0,0,0,2
651,0,2,0,1.0,0,0,0
652,0,2,1,1.0,1,1,2
653,0,1,0,1.0,0,0,2
654,1,1,1,1.0,1,1,2
655,1,0,0,0.0,1,2,2
656,1,2,0,0.0,0,1,0
657,1,2,0,1.0,0,0,2
658,0,2,0,1.0,0,0,2
659,0,0,0,1.0,0,0,2
660,0,2,1,1.0,0,0,2
661,0,1,0,1.0,0,0,2
662,1,0,1,1.0,1,0,2
663,0,2,0,1.0,0,0,2
664,0,2,0,1.0,0,0,2
665,0,1,0,1.0,0,0,2
666,0,2,1,0.0,4,2,2
667,0,2,0,1.0,0,0,2
668,0,0,0,,0,0,2
669,0,2,1,1.0,0,0,2
670,0,1,0,1.0,1,1,0
671,0,2,0,1.0,0,0,2
672,0,2,0,0.0,3,2,2
673,1,0,1,1.0,1,1,2
674,1,2,0,1.0,0,0,2
675,0,0,0,1.0,0,0,2
676,1,2,1,1.0,0,1,2
677,0,2,0,0.0,4,1,2
678,1,1,0,0.0,0,2,0
679,1,0,1,2.0,0,0,
680,1,2,1,1.0,1,0,0
681,1,1,0,0.0,1,1,2
682,0,2,0,1.0,0,0,2
683,0,2,0,1.0,0,0,2
684,1,0,1,1.0,1,1,0
685,0,2,0,1.0,0,0,2
686,1,2,0,1.0,0,0,2
687,1,0,0,,0,0,0
688,0,2,0,1.0,0,0,2
689,0,1,0,1.0,0,0,2
690,1,0,1,1.0,0,0,0
691,0,2,0,1.0,0,0,0
