,Survived,Pclass,Sex,Age,Fare,Cabin
0,0,2,0,1,1,1
1,1,0,1,1,2,1
2,1,2,1,1,1,1
3,1,0,1,1,2,1
4,0,2,0,1,1,1
5,0,2,0,1,1,1
6,0,0,0,1,2,1
7,0,2,0,0,1,1
8,1,2,1,1,1,1
9,1,1,1,0,1,1
10,1,2,1,0,1,1
11,1,0,1,2,1,1
12,0,2,0,1,1,1
13,0,2,0,1,1,1
14,0,2,1,0,1,1
15,1,1,1,2,1,1
16,0,2,0,0,1,1
17,1,1,0,1,1,1
18,0,2,1,1,1,1
19,1,2,1,1,1,1
20,0,1,0,1,1,1
21,1,1,0,1,1,1
22,1,2,1,1,1,1
23,1,0,0,1,1,1
24,0,2,1,0,1,1
25,1,2,1,1,1,1
26,0,2,0,1,1,1
27,0,0,0,1,0,1
28,1,2,1,1,1,1
29,0,2,0,1,1,1
30,0,0,0,1,1,1
31,1,0,1,1,2,1
32,1,2,1,1,1,1
33,0,1,0,2,1,1
34,0,0,0,1,2,1
35,0,0,0,1,2,1
36,1,2,0,1,1,1
37,0,2,0,1,1,1
38,0,2,1,1,1,1
39,1,2,1,0,1,1
40,0,2,1,1,1,1
41,0,1,1,1,1,1
42,0,2,0,1,1,1
43,1,1,1,0,1,1
44,1,2,1,1,1,1
45,0,2,0,1,1,1
46,0,2,0,1,1,1
47,1,2,1,1,1,1
48,0,2,0,1,1,1
49,0,2,1,1,1,1
50,0,2,0,0,1,1
51,0,2,0,1,1,1
52,1,0,1,1,2,1
53,1,1,1,1,1,1
54,0,0,0,2,2,1
55,1,0,0,1,1,1
56,1,1,1,1,1,1
57,0,2,0,1,1,1
58,1,1,1,0,1,1
59,0,2,0,0,1,1
60,0,2,0,1,1,1
61,1,0,1,1,2,1
62,0,0,0,1,2,1
63,0,2,0,0,1,1
64,0,0,0,1,1,1
65,1,2,0,0,1,1
66,1,1,1,1,1,1
67,0,2,0,1,1,1
68,1,2,1,1,1,1
69,0,2,0,1,1,1
70,0,1,0,1,1,1
71,0,2,1,1,1,1
72,0,1,0,1,2,1
73,0,2,0,1,1,1
74,1,2,0,1,2,1
75,0,2,0,1,1,1
76,0,2,0,1,1,1
